PK_DiagnosticDataSet;StartDateTime;EndDateTime;AlarmCount;Description_L1;Description_L1;PK_DinGroup
24594;2017-01-19 07:57:08.003;2017-01-19 08:19:28.003;1;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
24610;2017-01-19 08:22:06.003;2017-01-19 08:27:38.003;2;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
24611;2017-01-19 08:28:10.007;2017-01-19 08:29:18.003;3;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
24612;2017-01-19 08:29:52.003;2017-01-19 08:34:03.003;4;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
31195;2017-03-02 08:07:01.003;2017-03-02 08:07:06.003;1;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
56992;2017-05-23 00:35:36.003;2017-05-23 00:35:50.003;1;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
58472;2017-05-30 08:12:37.007;2017-05-30 08:12:44.007;1;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
58473;2017-05-30 08:12:48.007;2017-05-30 08:12:56.007;2;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
58474;2017-05-30 08:13:05.007;2017-05-30 08:13:14.003;3;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61071;2017-06-08 22:16:36.003;2017-06-08 22:17:52.003;1;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61072;2017-06-08 22:18:26.003;2017-06-08 22:19:44.003;2;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61073;2017-06-08 22:20:05.003;2017-06-08 22:22:10.003;3;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61074;2017-06-08 22:22:22.003;2017-06-08 22:31:08.003;4;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61096;2017-06-08 22:31:52.003;2017-06-08 22:46:38.003;5;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61099;2017-06-08 22:47:18.003;2017-06-08 23:34:59.007;6;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61103;2017-06-08 23:35:32.003;2017-06-08 23:35:45.003;7;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61110;2017-06-08 23:36:11.003;2017-06-08 23:47:08.003;8;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61112;2017-06-08 23:53:18.003;2017-06-08 23:53:40.003;9;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61120;2017-06-08 23:54:04.003;2017-06-09 00:00:32.003;10;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61122;2017-06-09 00:00:48.003;2017-06-09 00:06:55.003;11;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61123;2017-06-09 00:09:05.007;2017-06-09 00:10:23.003;12;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61124;2017-06-09 00:10:47.003;2017-06-09 00:12:49.003;13;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61125;2017-06-09 00:13:40.007;2017-06-09 00:35:09.003;14;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61146;2017-06-09 00:35:24.003;2017-06-09 00:37:05.007;15;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61162;2017-06-09 00:37:18.007;2017-06-09 00:39:23.003;16;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61164;2017-06-09 00:39:35.003;2017-06-09 00:52:23.003;17;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
61175;2017-06-09 00:52:37.003;2017-06-09 00:53:49.003;18;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
62326;2017-06-15 08:21:35.003;2017-06-15 08:23:29.003;1;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
62327;2017-06-15 08:24:16.003;2017-06-15 08:25:26.003;2;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
62328;2017-06-15 08:25:38.003;2017-06-15 08:27:38.007;3;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
62329;2017-06-15 08:28:24.003;2017-06-15 08:45:44.003;4;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
62360;2017-06-15 08:46:19.003;2017-06-15 08:52:48.003;5;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
62361;2017-06-15 08:53:39.007;2017-06-15 09:01:58.003;6;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
62333;2017-06-15 09:02:29.007;2017-06-15 09:39:53.007;7;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
62334;2017-06-15 09:40:23.003;2017-06-15 09:40:30.007;8;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
62335;2017-06-15 09:40:40.003;2017-06-15 09:47:26.007;9;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
62336;2017-06-15 09:47:43.007;2017-06-15 10:38:00.003;10;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
62432;2017-06-15 10:38:37.003;2017-06-15 10:50:25.003;11;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64150;2017-06-26 21:23:24.003;2017-06-26 21:26:59.003;1;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64151;2017-06-26 21:28:11.003;2017-06-26 21:32:42.003;2;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64154;2017-06-26 21:32:55.003;2017-06-26 21:34:19.003;3;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64155;2017-06-26 21:34:34.003;2017-06-26 22:03:45.003;4;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64157;2017-06-26 22:06:21.003;2017-06-26 22:15:20.003;5;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64161;2017-06-26 22:15:29.003;2017-06-26 22:24:08.003;6;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64181;2017-06-26 22:25:12.003;2017-06-26 22:27:04.003;7;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64182;2017-06-26 22:27:56.003;2017-06-26 22:29:04.003;8;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64183;2017-06-26 22:29:37.003;2017-06-27 00:47:04.003;9;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64208;2017-06-27 00:47:38.003;2017-06-27 00:51:34.003;10;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64209;2017-06-27 00:51:46.003;2017-06-27 00:54:42.007;11;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64210;2017-06-27 00:55:31.007;2017-06-27 03:06:23.007;12;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64278;2017-06-27 03:07:05.007;2017-06-27 03:13:43.007;13;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64281;2017-06-27 03:15:44.007;2017-06-27 04:15:57.007;14;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64289;2017-06-27 04:16:12.007;2017-06-27 04:19:30.007;15;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64293;2017-06-27 04:20:18.007;2017-06-27 04:31:23.007;16;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64309;2017-06-27 04:31:39.007;2017-06-27 04:37:26.003;17;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
64582;2017-06-28 01:33:47.007;2017-06-28 01:59:21.003;1;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
68420;2017-07-24 21:12:26.003;2017-07-24 21:14:44.003;1;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
68424;2017-07-24 21:15:02.003;2017-07-24 21:15:58.003;2;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
68425;2017-07-24 21:16:10.007;2017-07-24 21:16:39.003;3;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
68426;2017-07-24 21:16:51.003;2017-07-24 21:17:15.003;4;Störung hydrostatische Zusatzbremse Fahrmotor 2;Alarme;42
